fx fy fz
0.00000000e+00 1.17311224e-04 2.43046374e-07
0.00000000e+00 1.13481172e-04 4.43487379e-07
0.00000000e+00 1.04695575e-04 6.01862082e-07
0.00000000e+00 9.13234328e-05 6.85247423e-07
0.00000000e+00 7.39589558e-05 6.73766828e-07
0.00000000e+00 5.33620415e-05 5.63974422e-07
0.00000000e+00 3.04331402e-05 3.69447817e-07
0.00000000e+00 6.17459420e-06 1.18417935e-07
0.00000000e+00 -1.83535609e-05 -1.51122660e-07
0.00000000e+00 -4.20797233e-05 -3.97986347e-07
0.00000000e+00 -6.39671483e-05 -5.84905355e-07
0.00000000e+00 -8.30589888e-05 -6.84979010e-07
0.00000000e+00 -9.85201617e-05 -6.86328431e-07
0.00000000e+00 -1.09673628e-04 -5.94172714e-07
0.00000000e+00 -1.16027227e-04 -4.29932793e-07
0.00000000e+00 -1.17307477e-04 -2.27564490e-07
0.00000000e+00 -1.13453499e-04 -2.76203107e-08
0.00000000e+00 -1.04629306e-04 1.29664039e-07
0.00000000e+00 -9.12261589e-05 2.11446820e-07
0.00000000e+00 -7.38272183e-05 1.97930172e-07
0.00000000e+00 -5.31942271e-05 8.58270606e-08
0.00000000e+00 -3.02317275e-05 -1.11044291e-07
0.00000000e+00 -5.94820285e-06 -3.64107244e-07
0.00000000e+00 1.85862980e-05 -6.34925149e-07
0.00000000e+00 4.22848172e-05 -8.81800829e-07
0.00000000e+00 6.40885522e-05 -1.06697944e-06
0.00000000e+00 8.30102590e-05 -1.16333229e-06
0.00000000e+00 9.81736536e-05 -1.15943104e-06
0.00000000e+00 1.08850207e-04 -1.06192563e-06
0.00000000e+00 1.14501871e-04 -8.94329892e-07
0.00000000e+00 1.14762102e-04 -6.92482491e-07
0.00000000e+00 1.09524487e-04 -5.00094069e-07
0.00000000e+00 9.89170837e-05 -3.65577186e-07
0.00000000e+00 8.32661972e-05 -3.34178241e-07
0.00000000e+00 6.31833910e-05 -4.20609435e-07
0.00000000e+00 3.94911163e-05 -5.86455576e-07
0.00000000e+00 1.28417366e-05 -8.05776476e-07
0.00000000e+00 -1.63300855e-05 -1.18946513e-06
0.00000000e+00 -4.45486472e-05 -1.77596894e-06
0.00000000e+00 -6.35309270e-05 -1.88898903e-06
0.00000000e+00 -7.70484757e-05 -7.27776647e-07
0.00000000e+00 -9.37377744e-05 -2.44912117e-07
0.00000000e+00 -4.79676811e-05 -4.05431094e-06
0.00000000e+00 -5.65574525e-05 -5.96855449e-06
0.00000000e+00 -6.45918345e-04 9.83527066e-06
0.00000000e+00 -3.35124882e-04 1.28334429e-05
0.00000000e+00 2.10234385e-03 -2.72446125e-05
0.00000000e+00 -1.21251995e-03 -1.87579824e-05
0.00000000e+00 1.34621740e-03 3.57746693e-05
0.00000000e+00 -2.43447898e-03 2.69930915e-05
0.00000000e+00 7.12481754e-04 -2.15601228e-05
0.00000000e+00 6.25022008e-04 -7.55796679e-06
0.00000000e+00 -6.52167585e-05 1.12366846e-05
0.00000000e+00 3.83224647e-05 3.84058050e-06
0.00000000e+00 6.61952989e-05 -4.06254159e-07
0.00000000e+00 4.77036796e-05 2.03669301e-06
0.00000000e+00 4.61045578e-05 3.27747266e-06
0.00000000e+00 2.41558974e-05 2.40102406e-06
0.00000000e+00 -5.24023663e-06 1.68267293e-06
0.00000000e+00 -2.97087811e-05 1.44441132e-06
0.00000000e+00 -5.08796647e-05 1.20275038e-06
0.00000000e+00 -6.95191015e-05 9.54982896e-07
0.00000000e+00 -8.45347126e-05 8.62725721e-07
