ux uy uz
0.00000000e+00 -3.67880445e+02 1.49091516e+02
0.00000000e+00 -3.94197633e+02 1.48302324e+02
0.00000000e+00 -4.14789033e+02 1.48236796e+02
0.00000000e+00 -4.29258811e+02 1.48748954e+02
0.00000000e+00 -4.37327645e+02 1.49654124e+02
0.00000000e+00 -4.38829132e+02 1.50728878e+02
0.00000000e+00 -4.33716016e+02 1.51729474e+02
0.00000000e+00 -4.22060546e+02 1.52416479e+02
0.00000000e+00 -4.04047116e+02 1.52575598e+02
0.00000000e+00 -3.79960889e+02 1.52031293e+02
0.00000000e+00 -3.50175671e+02 1.50654343e+02
0.00000000e+00 -3.15142315e+02 1.48365639e+02
0.00000000e+00 -2.75377720e+02 1.45137736e+02
0.00000000e+00 -2.31454225e+02 1.40994523e+02
0.00000000e+00 -1.83989331e+02 1.36008842e+02
0.00000000e+00 -1.33635860e+02 1.30297832e+02
0.00000000e+00 -8.10726774e+01 1.24016109e+02
0.00000000e+00 -2.69960445e+01 1.17347139e+02
0.00000000e+00 2.78884226e+01 1.10493334e+02
0.00000000e+00 8.28732873e+01 1.03665469e+02
0.00000000e+00 1.37256459e+02 9.70719467e+01
0.00000000e+00 1.90348134e+02 9.09084405e+01
0.00000000e+00 2.41477635e+02 8.53483436e+01
0.00000000e+00 2.90000235e+02 8.05344490e+01
0.00000000e+00 3.35304005e+02 7.65722064e+01
0.00000000e+00 3.76816672e+02 7.35248420e+01
0.00000000e+00 4.14012421e+02 7.14105498e+01
0.00000000e+00 4.46418508e+02 7.02018640e+01
0.00000000e+00 4.73621543e+02 6.98272258e+01
0.00000000e+00 4.95273221e+02 7.01746534e+01
0.00000000e+00 5.11095334e+02 7.10973268e+01
0.00000000e+00 5.20883828e+02 7.24208112e+01
0.00000000e+00 5.24511770e+02 7.39515666e+01
0.00000000e+00 5.21931061e+02 7.54863318e+01
0.00000000e+00 5.13172838e+02 7.68219332e+01
0.00000000e+00 4.98346526e+02 7.77650497e+01
0.00000000e+00 4.77637597e+02 7.81414696e+01
0.00000000e+00 4.51304118e+02 7.78044025e+01
0.00000000e+00 4.19672238e+02 7.66414552e+01
0.00000000e+00 3.83130808e+02 7.45799461e+01
0.00000000e+00 3.42125322e+02 7.15903151e+01
0.00000000e+00 2.97151397e+02 6.76874735e+01
0.00000000e+00 2.48747984e+02 6.29300398e+01
0.00000000e+00 1.97490474e+02 5.74175047e+01
0.00000000e+00 1.43983827e+02 5.12854670e+01
0.00000000e+00 8.88558059e+01 4.46991686e+01
0.00000000e+00 3.27503447e+01 3.78456386e+01
0.00000000e+00 -2.36789605e+01 3.09248169e+01
0.00000000e+00 -7.97752825e+01 2.41400745e+01
0.00000000e+00 -1.34884982e+02 1.76885768e+01
0.00000000e+00 -1.88364084e+02 1.17519403e+01
0.00000000e+00 -2.39584877e+02 6.48762220e+00
0.00000000e+00 -2.87942653e+02 2.02144727e+00
0.00000000e+00 -3.32862591e+02 -1.55837443e+00
0.00000000e+00 -3.73806730e+02 -4.20545573e+00
0.00000000e+00 -4.10280922e+02 -5.91746400e+00
0.00000000e+00 -4.41841615e+02 -6.73626787e+00
0.00000000e+00 -4.68102304e+02 -6.74598814e+00
0.00000000e+00 -4.88739411e+02 -6.06904242e+00
0.00000000e+00 -5.03497428e+02 -4.86036872e+00
0.00000000e+00 -5.12193077e+02 -3.30010092e+00
0.00000000e+00 -5.14718357e+02 -1.58504394e+00
0.00000000e+00 -5.11042328e+02 8.06455307e-02
0.00000000e+00 -5.01211566e+02 1.49512855e+00
0.00000000e+00 -4.85349269e+02 2.46844233e+00
0.00000000e+00 -4.63653068e+02 2.83149194e+00
0.00000000e+00 -4.36391646e+02 2.44404748e+00
0.00000000e+00 -4.03900303e+02 1.20136678e+00
0.00000000e+00 -3.66575671e+02 -9.60869208e-01
0.00000000e+00 -3.24869767e+02 -4.06354041e+00
0.00000000e+00 -2.79283597e+02 -8.08313090e+00
0.00000000e+00 -2.30360499e+02 -1.29528735e+01
0.00000000e+00 -1.78679386e+02 -1.85659380e+01
0.00000000e+00 -1.24847997e+02 -2.47805111e+01
0.00000000e+00 -6.94962454e+01 -3.14265244e+01
0.00000000e+00 -1.32696754e+01 -3.83137162e+01
0.00000000e+00 4.31769900e+01 -4.52406453e+01
0.00000000e+00 9.91862539e+01 -5.20042353e+01
0.00000000e+00 1.54104277e+02 -5.84094030e+01
0.00000000e+00 2.07287401e+02 -6.42783176e+01
0.00000000e+00 2.58108824e+02 -6.94588566e+01
0.00000000e+00 3.05965446e+02 -7.38318582e+01
0.00000000e+00 3.50284878e+02 -7.73168263e+01
0.00000000e+00 3.90532535e+02 -7.98758130e+01
0.00000000e+00 4.26218730e+02 -8.15152898e+01
0.00000000e+00 4.56905576e+02 -8.22859107e+01
0.00000000e+00 4.82213547e+02 -8.22801709e+01
0.00000000e+00 5.01827456e+02 -8.16280639e+01
0.00000000e+00 5.15501662e+02 -8.04909362e+01
0.00000000e+00 5.23064295e+02 -7.90538251e+01
0.00000000e+00 5.24420343e+02 -7.75166392e+01
0.00000000e+00 5.19553461e+02 -7.60845982e+01
0.00000000e+00 5.08526464e+02 -7.49583857e+01
0.00000000e+00 4.91480466e+02 -7.43244826e+01
0.00000000e+00 4.68632740e+02 -7.43461444e+01
0.00000000e+00 4.40273403e+02 -7.51554535e+01
0.00000000e+00 4.06761083e+02 -7.68468310e+01
0.00000000e+00 3.68517745e+02 -7.94723220e+01
