ux uy uz
0.00000000e+00 7.64986423e+01 -1.72916610e+00
0.00000000e+00 6.16494059e+01 -1.90556402e+00
0.00000000e+00 4.61119764e+01 -2.10847334e+00
0.00000000e+00 3.00792153e+01 -2.33144010e+00
0.00000000e+00 1.37511773e+01 -2.56703866e+00
0.00000000e+00 -2.66709594e+00 -2.80722654e+00
0.00000000e+00 -1.89678348e+01 -3.04373211e+00
0.00000000e+00 -3.49428327e+01 -3.26845775e+00
0.00000000e+00 -5.03857513e+01 -3.47388061e+00
0.00000000e+00 -6.50944232e+01 -3.65343313e+00
0.00000000e+00 -7.88731430e+01 -3.80184640e+00
0.00000000e+00 -9.15349363e+01 -3.91544108e+00
0.00000000e+00 -1.02903807e+02 -3.99235227e+00
0.00000000e+00 -1.12816963e+02 -4.03267712e+00
0.00000000e+00 -1.21127030e+02 -4.03853573e+00
0.00000000e+00 -1.27704262e+02 -4.01403873e+00
0.00000000e+00 -1.32438747e+02 -3.96515763e+00
0.00000000e+00 -1.35242607e+02 -3.89949857e+00
0.00000000e+00 -1.36052185e+02 -3.82598569e+00
0.00000000e+00 -1.34830219e+02 -3.75446621e+00
0.00000000e+00 -1.31568051e+02 -3.69525183e+00
0.00000000e+00 -1.26287987e+02 -3.65860684e+00
0.00000000e+00 -1.19045834e+02 -3.65417991e+00
0.00000000e+00 -1.09933360e+02 -3.69036347e+00
0.00000000e+00 -9.90798053e+01 -3.77356944e+00
0.00000000e+00 -8.66512045e+01 -3.90744988e+00
0.00000000e+00 -7.28474583e+01 -4.09215481e+00
0.00000000e+00 -5.79010727e+01 -4.32374857e+00
0.00000000e+00 -4.20870236e+01 -4.59385686e+00
0.00000000e+00 -2.57529572e+01 -4.88957356e+00
0.00000000e+00 -9.36128588e+00 -5.19386496e+00
0.00000000e+00 6.50176328e+00 -5.48714794e+00
0.00000000e+00 2.12170701e+01 -5.75044979e+00
0.00000000e+00 3.43292497e+01 -5.96843103e+00
0.00000000e+00 4.56861335e+01 -6.12863758e+00
0.00000000e+00 5.52457708e+01 -6.21793360e+00
0.00000000e+00 6.25434508e+01 -6.22717338e+00
0.00000000e+00 6.64343222e+01 -6.16876710e+00
0.00000000e+00 6.58041626e+01 -6.07838434e+00
0.00000000e+00 2.37434782e+01 1.45224450e+01
0.00000000e+00 1.75842274e+01 1.34887949e+01
0.00000000e+00 1.11109112e+01 1.27450332e+01
0.00000000e+00 2.21949780e+00 1.22877301e+01
0.00000000e+00 -9.31956490e+00 1.19890378e+01
0.00000000e+00 -2.20441758e+01 1.17110402e+01
0.00000000e+00 -3.46030308e+01 1.13885814e+01
